hmdb_id;name;ccl;icl;inchi;gutper
DB00900;Didanosine;Nucleosides, nucleotides, and analogues;Zwitterion;InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1;0
HMDB0000071;Deoxyinosine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1;0
HMDB0000195|DB13156;Inosine;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1;0
HMDB0000299;Xanthosine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1;0
HMDB0000058;Cyclic AMP;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1;0
HMDB0011616;Adenosine 2',3'-cyclic phosphate;Organic oxygen compounds;Acid;InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7-6(4(1-16)19-10)20-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13);0
HMDB0011629;Guanosine 2',3'-cyclic phosphate;Sphingolipids;Acid;InChI=1S/C10H12N5O7P/c11-10-13-7-4(8(17)14-10)12-2-15(7)9-6-5(3(1-16)20-9)21-23(18,19)22-6/h2-3,5-6,9,16H,1H2,(H,18,19)(H3,11,13,14,17)/t3-,5-,6-,9-/m1/s1;1
HMDB0034121;1-Methoxy-4-(2-propenyl)benzene;Benzenoids;Neutral;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3,5-8H,1,4H2,2H3;1
DB15916;Anethole;Other;Acid;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3+;0
HMDB0030837;Anethole;Benzenoids;Neutral;InChI=1S/C10H12O/c1-3-4-9-5-7-10(11-2)8-6-9/h3-8H,1-2H3/b4-3-;1
HMDB0030060;Methyl 3-phenylpropanoate;Fatty Acyls;Neutral;InChI=1S/C10H12O2/c1-12-10(11)8-7-9-5-3-2-4-6-9/h2-6H,7-8H2,1H3;1
HMDB0005809|DB09086;Eugenol;Benzenoids;Neutral;InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3;0
DB06819;Phenylbutyric acid;Benzenoids;Acid;InChI=1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12);0
HMDB0032574|DB14177;Propylparaben;Benzenoids;Neutral;InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3;0
HMDB0000434;Homoveratric acid;Benzenoids;Acid;InChI=1S/C10H12O4/c1-13-8-4-3-7(6-10(11)12)5-9(8)14-2/h3-5H,6H2,1-2H3,(H,11,12);0
HMDB0062121;Dihydroferulic acid;Phenylpropanoids and polyketides;Acid;InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13);0
DB00672;Chlorpropamide;Benzenoids;Neutral;InChI=1S/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14);0
HMDB0006543|DB04840;Debrisoquine;Organoheterocyclic compounds;Basic;InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12);0
DB13211;Guanoxan;Organoheterocyclic compounds;Neutral;InChI=1S/C10H13N3O2/c11-10(12)13-5-7-6-14-8-3-1-2-4-9(8)15-7/h1-4,7H,5-6H2,(H4,11,12,13);0
DB11820;Nifurtimox;Organoheterocyclic compounds;Neutral;InChI=1S/C10H13N3O5S/c1-8-7-19(16,17)5-4-12(8)11-6-9-2-3-10(18-9)13(14)15/h2-3,6,8H,4-5,7H2,1H3/b11-6+;0
HMDB0000175;Inosinic acid;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1;0
HMDB0000101;Deoxyadenosine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1;0
DB00495;Zidovudine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H13N5O4/c1-5-3-15(10(18)12-9(5)17)8-2-6(13-14-11)7(4-16)19-8/h3,6-8,16H,2,4H2,1H3,(H,12,17,18)/t6-,7+,8+/m0/s1;0
HMDB0000085;Deoxyguanosine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1;0
HMDB0000050|DB00640;Adenosine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1;0
HMDB0000133;Guanosine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1;0
HMDB0029223;alpha-Methylphenylalanine;Phenylpropanoids and polyketides;Zwitterion;InChI=1S/C10H13NO2/c1-10(11,9(12)13)7-8-5-3-2-4-6-8/h2-6H,7,11H2,1H3,(H,12,13);1
HMDB0029224;N-methylphenylalanine;Organic acids and derivatives;Zwitterion;InChI=1S/C10H13NO2/c1-11-9(10(12)13)7-8-5-3-2-4-6-8/h2-6,9,11H,7H2,1H3,(H,12,13);1
HMDB0005199;(R)-Salsolinol;Organoheterocyclic compounds;Basic;InChI=1S/C10H13NO2/c1-6-8-5-10(13)9(12)4-7(8)2-3-11-6/h4-6,11-13H,2-3H2,1H3;0
DB00765;Metyrosine;Phenylpropanoids and polyketides;Zwitterion;InChI=1S/C10H13NO3/c1-10(11,9(13)14)6-7-2-4-8(12)5-3-7/h2-5,12H,6,11H2,1H3,(H,13,14)/t10-/m0/s1;0
DB00968;Methyldopa;Phenylpropanoids and polyketides;Basic;InChI=1S/C10H13NO4/c1-10(11,9(14)15)5-6-2-3-7(12)8(13)4-6/h2-4,12-13H,5,11H2,1H3,(H,14,15)/t10-/m0/s1;0
HMDB0254673|DB13284;Meticrane;Organoheterocyclic compounds;Neutral;InChI=1S/C10H13NO4S2/c1-7-5-8-3-2-4-16(12,13)10(8)6-9(7)17(11,14)15/h5-6H,2-4H2,1H3,(H2,11,14,15);0
HMDB0059832;4-Ethyl-o-xylene;Benzenoids;Neutral;InChI=1S/C10H14/c1-4-10-6-5-8(2)9(3)7-10/h5-7H,4H2,1-3H3;1
HMDB0037051;1-Isopropyl-3-methylbenzene;Benzenoids;Neutral;InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3;1
HMDB0037013;p-Mentha-1,3,8-triene;Prenol lipids;Neutral;InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4,6H,1,5,7H2,2-3H3;1
HMDB0037050;1-Isopropyl-2-methylbenzene;Benzenoids;Neutral;InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3;1
HMDB0001934|DB00184;Nicotine;Organoheterocyclic compounds;Basic;InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1;0
DB14754;Solriamfetol;Other;Zwitterion;InChI=1S/C10H14N2O2/c11-9(7-14-10(12)13)6-8-4-2-1-3-5-8/h1-5,9H,6-7,11H2,(H2,12,13)/t9-/m1/s1;0
DB00190;Carbidopa;Phenylpropanoids and polyketides;Neutral;InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1;0
HMDB0258622|DB08329;Sultiame;Benzenoids;Neutral;InChI=1S/C10H14N2O4S2/c11-18(15,16)10-5-3-9(4-6-10)12-7-1-2-8-17(12,13)14/h3-6H,1-2,7-8H2,(H2,11,15,16);0
HMDB0000273;Thymidine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1;0
DB01265;Telbivudine;Nucleosides, nucleotides, and analogues;Basic;InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m1/s1;0
HMDB0240328;2'-O-Methyluridine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H14N2O6/c1-17-8-7(15)5(4-13)18-9(8)12-3-2-6(14)11-10(12)16/h2-3,5,7-9,13,15H,4H2,1H3,(H,11,14,16)/t5-,7-,8-,9-/m1/s1;0
HMDB0000884;Ribothymidine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H14N2O6/c1-4-2-12(10(17)11-8(4)16)9-7(15)6(14)5(3-13)18-9/h2,5-7,9,13-15H,3H2,1H3,(H,11,16,17)/t5-,6-,7-,9-/m1/s1;0
DB00651;Dyphylline;Organoheterocyclic compounds;Basic;InChI=1S/C10H14N4O4/c1-12-8-7(9(17)13(2)10(12)18)14(5-11-8)3-6(16)4-15/h5-6,15-16H,3-4H2,1-2H3;0
HMDB0000905;Deoxyadenosine monophosphate;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1;1
HMDB0000045;Adenosine monophosphate;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1;0
HMDB0032063;4-tert-Butylphenol;Benzenoids;Neutral;InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3;1
HMDB0035770;5-Isopropyl-2-methylphenol;Prenol lipids;Neutral;InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3;1
DB02513;Thymol;Prenol lipids;Neutral;InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)6-10(9)11/h4-7,11H,1-3H3;0
DB00874;Guaifenesin;Benzenoids;Neutral;InChI=1S/C10H14O4/c1-13-9-4-2-3-5-10(9)14-7-8(12)6-11/h2-5,8,11-12H,6-7H2,1H3;0
HMDB0062720;Thymol Sulfate;Organic acids and derivatives;Acid;InChI=1S/C10H14O4S/c1-7(2)9-5-4-8(3)6-10(9)14-15(11,12)13/h4-7H,1-3H3,(H,11,12,13);1
HMDB0001227;5-Thymidylic acid;Nucleosides, nucleotides, and analogues;Acid;InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1;1
DB00217;Bethanidine;Benzenoids;Zwitterion;InChI=1S/C10H15N3/c1-11-10(12-2)13-8-9-6-4-3-5-7-9/h3-7H,8H2,1-2H3,(H2,11,12,13);0
HMDB0000982;5-Methylcytidine;Nucleosides, nucleotides, and analogues;Neutral;InChI=1S/C10H15N3O5/c1-4-2-13(10(17)12-8(4)11)9-7(16)6(15)5(3-14)18-9/h2,5-7,9,14-16H,3H2,1H3,(H2,11,12,17)/t5-,6-,7-,9-/m1/s1;0
HMDB0248960|DB12783;benserazide;Organic acids and derivatives;Zwitterion;InChI=1S/C10H15N3O5/c11-6(4-14)10(18)13-12-3-5-1-2-7(15)9(17)8(5)16/h1-2,6,12,14-17H,3-4,11H2,(H,13,18);0
HMDB0039229;Pyro-L-glutaminyl-L-glutamine;Organic oxygen compounds;Acid;InChI=1S/C10H15N3O5/c11-7(14)3-1-6(10(17)18)13-9(16)5-2-4-8(15)12-5/h5-6H,1-4H2,(H2,11,14)(H,12,15)(H,13,16)(H,17,18)/t5-,6-/m0/s1;1
HMDB0001943|DB00852;Pseudoephedrine;Benzenoids;Basic;InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10+/m0/s1;0
HMDB0015451|DB01364;Ephedrine;Benzenoids;Basic;InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m0/s1;0
DB14752;Racephedrine;Other;Acid;InChI=1S/C10H15NO/c1-8(11-2)10(12)9-6-4-3-5-7-9/h3-8,10-12H,1-2H3/t8-,10-/m1/s1;0
DB11610;Oxilofrine;Benzenoids;Basic;InChI=1S/C10H15NO2/c1-7(11-2)10(13)8-3-5-9(12)6-4-8/h3-7,10-13H,1-2H3/t7-,10-/m0/s1;0
HMDB0038169;beta-Myrcene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3;1
HMDB0035658;(-)-alpha-Pinene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1;1
HMDB0006525;(+)-alpha-Pinene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1;1
HMDB0036559;(-)-beta-Pinene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9-/m0/s1;1
HMDB0035619;alpha-Carene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3;1
HMDB0059839;Camphene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3;1
HMDB0003375;(+)-Limonene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3/t10-/m0/s1;0
HMDB0036081;beta-Phellandrene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3;1
HMDB0041634;(+)-beta-Phellandrene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3/t10-/m0/s1;1
HMDB0041633;(-)-beta-Phellandrene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3/t10-/m1/s1;1
HMDB0005806;gamma-Terpinene;Hydrocarbons;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3;1
HMDB0035850;alpha-Phellandrene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3;1
HMDB0034970;(S)-alpha-Phellandrene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m0/s1;1
HMDB0035851;(R)-alpha-Phellandrene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m1/s1;1
HMDB0036994;Terpinolene;Prenol lipids;Neutral;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3;1
DB00236;Pipobroman;Organoheterocyclic compounds;Basic;InChI=1S/C10H16Br2N2O2/c11-3-1-9(15)13-5-7-14(8-6-13)10(16)2-4-12/h1-8H2;0
HMDB0257232|DB11738;Rilmenidine;Organoheterocyclic compounds;Neutral;InChI=1S/C10H16N2O/c1-2-7(1)9(8-3-4-8)12-10-11-5-6-13-10/h7-9H,1-6H2,(H,11,12);0
HMDB0000030|DB00121;Biotin;Organoheterocyclic compounds;Acid;InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1;0
HMDB0094651;Pyroglutamylvaline;Organic acids and derivatives;Acid;InChI=1S/C10H16N2O4/c1-5(2)8(10(15)16)12-9(14)6-3-4-7(13)11-6/h5-6,8H,3-4H2,1-2H3,(H,11,13)(H,12,14)(H,15,16)/t6-,8-/m0/s1;1
HMDB0011737;gamma-Glutamylglutamic acid;Organic acids and derivatives;Zwitterion;InChI=1S/C10H16N2O7/c11-5(9(16)17)1-3-7(13)12-6(10(18)19)2-4-8(14)15/h5-6H,1-4,11H2,(H,12,13)(H,14,15)(H,16,17)(H,18,19)/t5-,6-/m0/s1;0
HMDB0000194;Anserine;Organic acids and derivatives;Zwitterion;InChI=1S/C10H16N4O3/c1-14-6-12-5-7(14)4-8(10(16)17)13-9(15)2-3-11/h5-6,8H,2-4,11H2,1H3,(H,13,15)(H,16,17)/t8-/m0/s1;0
DB00501;Cimetidine;Organoheterocyclic compounds;Neutral;InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14);0
HMDB0041011;beta-Cyclocitral;Organic oxygen compounds;Neutral;InChI=1S/C10H16O/c1-8-5-4-6-10(2,3)9(8)7-11/h7H,4-6H2,1-3H3;1
DB14156;Synthetic camphor;Other;Acid;InChI=1S/C10H16O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7H,4-6H2,1-3H3;0
DB00915;Amantadine;Organic nitrogen compounds;Acid;InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2;0
HMDB0028805;Glutaminylproline;Organic acids and derivatives;Zwitterion;InChI=1S/C10H17N3O4/c11-6(3-4-8(12)14)9(15)13-5-1-2-7(13)10(16)17/h6-7H,1-5,11H2,(H2,12,14)(H,16,17)/t6-,7-/m0/s1;1
HMDB0029147;N-gamma-Glutamylglutamine;Organic acids and derivatives;Zwitterion;InChI=1S/C10H17N3O6/c11-5(9(16)17)1-3-7(14)13-8(15)4-2-6(12)10(18)19/h5-6H,1-4,11-12H2,(H,16,17)(H,18,19)(H,13,14,15)/t5-,6-/m0/s1;0
HMDB0011738;N2-gamma-Glutamylglutamine;Organic acids and derivatives;Zwitterion;InChI=1S/C10H17N3O6/c11-5(9(16)17)1-4-8(15)13-6(10(18)19)2-3-7(12)14/h5-6H,1-4,11H2,(H2,12,14)(H,13,15)(H,16,17)(H,18,19)/t5-,6-/m0/s1;0
HMDB0000125|DB00143;Glutathione;Organic acids and derivatives;Zwitterion;InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1;0
DB00413;Pramipexole;Organic nitrogen compounds;Neutral;InChI=1S/C10H17N3S/c1-2-5-12-7-3-4-8-9(6-7)14-10(11)13-8/h7,12H,2-6H2,1H3,(H2,11,13)/t7-/m0/s1;0
HMDB0013124;Propenoylcarnitine;Fatty Acyls;Acid;InChI=1S/C10H17NO4/c1-5-10(14)15-8(6-9(12)13)7-11(2,3)4/h5,8H,1,6-7H2,2-4H3/t8-/m0/s1;1
DB00185;Cevimeline;Organoheterocyclic compounds;Zwitterion;InChI=1S/C10H17NOS/c1-8-12-10(7-13-8)6-11-4-2-9(10)3-5-11/h8-9H,2-7H2,1H3/t8?,10-/m1/s1;0
HMDB0061795;(S)-3,7-Dimethyl-1,6-octadiene;Prenol lipids;Neutral;InChI=1S/C10H18/c1-5-10(4)8-6-7-9(2)3/h5,7,10H,1,6,8H2,2-4H3/t10-/m1/s1;1
HMDB0028903;Isoleucyl-Aspartate;Organic acids and derivatives;Zwitterion;InChI=1S/C10H18N2O5/c1-3-5(2)8(11)9(15)12-6(10(16)17)4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17);1
HMDB0028757;Aspartyl-Leucine;Organic acids and derivatives;Zwitterion;InChI=1S/C10H18N2O5/c1-5(2)3-7(10(16)17)12-9(15)6(11)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17);1
HMDB0011172;gamma-Glutamylvaline;Organic acids and derivatives;Zwitterion;InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-7(13)4-3-6(11)9(14)15/h5-6,8H,3-4,11H2,1-2H3,(H,12,13)(H,14,15)(H,16,17)/t6-,8-/m0/s1;1
HMDB0028832;Glutamylvaline;Organic acids and derivatives;Zwitterion;InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-9(15)6(11)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1;1
